Longitude,Latitude,value
-25.15,42.85,0
-23.87,45.3,0
-17.53,52.367,0
-15.57,58.733,0
-19.2,59.95,0
-20.97,60.383,0
-25.12,61.55,0
-6.733,66.733,0
-6.667,67.783,0
-6.983,72.967,0
-5.417,68.383,0
-0.067,65.167,0
-14.53,62.85,0
-24.05,61.917,0
-38.78333333,28,1
-73.51666667,38.18333333,0
-41.75,50.93333333,0
-67.33333333,35.71666667,1
-68.91666667,36.13333333,0
-69.13333333,36.13333333,1
-68.93333333,35.78333333,1
-69.4,36.21666667,1
-74.35,31.83333333,0
-76.8,29.76666667,1
-78.55,19.4,1
-75.75,23.93333333,1
-75.91666667,24.8,1
-67.66666667,30.78333333,1
-42.65,39.13333333,1
-36.7,39.26666667,1
-27.36666667,33.56666667,1
-19.3,25.83333333,1
-17.06666667,5.283333333,0
-21.78333333,0.583333333,1
-26.03333333,-0.766666667,1
-27.01666667,-1.5,0
-57.33333333,10.55,1
-59.2,20.71666667,1
51.9,12,0
53.16666667,10.25,0
51.73333333,8.983333333,0
51.61666667,8.9,0
60.21666667,9.216666667,0
69.43333333,20.15,0
67.91666667,20.11666667,0
59.55,21,0
61.01666667,20.83333333,0
57.18333333,17.43333333,0
54.76666667,16.23333333,0
54.63333333,15.26666667,0
57.35,14.93333333,0
-34.56666667,-29.13333333,1
71.56666667,13.58333333,0
74.18333333,9.9,0
73.4,7.033333333,0
127.85,-9.1,0
133.8333333,-4.883333333,0
131.9833333,-4.666666667,0
130.6166667,-2.633333333,0
112.6833333,-11.88333333,0
175.3833333,36.56666667,0
178.6333333,36.43333333,0
46.98333333,-13.3,0
41.61666667,-12.98333333,0
41.4,-13.18333333,0
41.55,-16.06666667,0
41.83333333,-11.51666667,0
-121.8833333,19,0
-11.11666667,-8.283333333,1
119.05,7.916666667,0
118.55,8.5,0
87.78333333,11.38333333,0
80.86666667,14.26666667,0
87.31666667,15.3,0
91.23333333,15.21666667,0
91.53333333,19,0
89.31666667,20.33333333,0
86.9,13.48333333,0
89.03333333,6.916666667,0
88.58333333,4.183333333,0
57.36666667,17.7,0
57.38333333,17.56666667,0
57.36666667,13.86666667,0
60.66666667,16.61666667,0
58.33333333,19.15,0
58.98333333,19.7,0
59.6,21,0
59.73333333,21.75,0
60.18333333,20.75,0
60.61666667,20,0
60.75,19.55,0
61.68333333,19.93333333,0
60.83333333,21.71666667,0
60.15,22.68333333,0
59.75,22.68333333,0
59.61666667,22.61666667,0
59.71666667,22.63333333,0
63.15,22.18333333,0
58.78333333,24.06666667,0
62.06666667,-18.35,0
62.83333333,-12.26666667,0
55.5,-8.933333333,0
61.81666667,-26.93333333,0
69.01666667,-8.316666667,0
71.21666667,-2.45,0
70.23333333,-2.333333333,0
69.25,-2.2,0
88.85,2.966666667,0
91.05,2.916666667,0
91.68333333,2.983333333,0
97.88333333,-0.566666667,0
-130.6166667,3.333333333,0
-133.3833333,-9.983333333,0
-148.4833333,-16.78333333,0
-143.6666667,-28.56666667,0
-127.3333333,-44.21666667,0
-127.2333333,-44.35,0
-119.8333333,-45.5,0
-102,-42,0
-97.08333333,-42.9,0
-79.5,-34.5,0
-106.5,-28.48333333,0
-118.2333333,-23.61666667,0
-115.2,-22.08333333,0
-113.3,-4.033333333,0
-115.7166667,-26.3,0
-112.1,-14.73333333,0
-109.7166667,-11.7,0
-110.6833333,-9.883333333,0
-116.2166667,1.45,0
-115.7666667,4.133333333,0
95.08333333,-45.01666667,0
95.08333333,-47.13333333,0
95.03333333,-47.98333333,0
94.83333333,-49.38333333,0
-89.75,-59.65,0
-130.1166667,-58,0
-159.9833333,-54.01666667,0
-63.06666667,-58.86666667,0
-136.9666667,-59.96666667,0
156.0666667,4.85,0
156.2333333,2.783333333,0
157,-2.233333333,0
161.3166667,-3.6,0
160.8,-1.75,0
159.0666667,-1.633333333,0
158.7,-0.016666667,0
160.4166667,-0.016666667,0
161,0,0
161.4333333,0,0
161.9833333,0,0
162.7,-0.033333333,0
161,0.883333333,0
161.6,1.1,0
162.4,1.366666667,0
163.7,2.366666667,0
-47.48333333,28.35,1
-46.35,28.56666667,1
-43.21666667,29.81666667,1
-39.68333333,31.18333333,1
-37.85,31.65,1
-34.1,32.41666667,1
-34.06666667,32.45,1
-30.38333333,34.65,1
-29.98333333,34.61666667,1
-28.78333333,34.81666667,1
-28.36666667,34.8,1
-26.2,34.81666667,1
-24.31666667,35,0
-21.66666667,34.95,1
-17.36666667,34.96666667,1
-12.61666667,35.18333333,1
-51.58333333,16.71666667,1
-46.13333333,16.65,1
-42.95,15.53333333,1
-34.16666667,11,1
-44.96666667,5.983333333,1
-44.93333333,5.866666667,1
-44.76666667,5.666666667,1
-44.71666667,5.7,1
-44.73333333,5.7,1
-44.63333333,5.783333333,1
-44.58333333,5.833333333,1
-44.5,5.883333333,1
-44.46666667,5.966666667,1
-44.38333333,6.016666667,1
-44.3,6.5,1
-44.3,6.116666667,1
